Название;Норма посадки;Почва;Свет
Скабиоза японская Ritz Blue (Scabiosa japonica);;;
Скабиоза японская Ritz Rose (Scabiosa japonica);;;
Солидаго гибридный Little Miss Sunshine (Solidago hybrida);;;
Стахис шерстистый (Stachys byzantina);;рыхлые, нетребователен, сухая, полусухая, влажная;солнце
Теллима крупноцветковая (Tellima grandiflora);;;
Тиарелла Верри (Tiarella wherryi);;;
Тимьян блошницевидный Pink-purple (Thymus pulegiodes);;нетребователен, сухая, хорошо дренированная;солнце
Тимьян крайний (Thymus extremus);;нетребователен, сухая, хорошо дренированная;солнце
Тимьян обыкновенный (Thymus vulgaris);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тимьян ползучий (Thymus serpyllum);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тимьян ранний (Thymus praecox);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Традесканция арендса Blanca (Tradescantia × andersoniana);;;
Традесканция арендса Blue (Tradescantia × andersoniana);;;
Традесканция арендса Carmine Red (Tradescantia × andersoniana);;;
Тысячелистник обыкновенный Colorado (Achillea millefolium);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тысячелистник обыкновенный Summer Berries (Achillea millefolium);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тысячелистник обыкновенный Flowerburst Red Shades (Achillea millefolium);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тысячелистник обыкновенный Cerise Queen (Achillea millefolium);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Тысячелистник птармика Ballerina (Achillea ptarmica);;рыхлые, плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Тысячелистник птармика Marshmallow (Achillea ptarmica);;рыхлые, плодородные, слегка влажная, влажная;солнце
Тысячелистник таволговый Cloth of Gold (Achillea filipendulina);;легкие, нетребователен, умеренно влажная, хорошо дренированная;солнце
Фалярис (канареечник) тростниковый (Phalaris arundinacea);;нетребователен, плодородные, влажная, сырая;полутень
Фиалка сестринская Albiflora (Viola sororia);;рыхлые, плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Физалис декоративный Gigantea (Physalis franchetii);;;
Физалис декоративный Gnome (Physalis franchetii);;;
Физостегия виргинская White Queen (Physostegia virginiana);;рыхлые, плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Физостегия виргинская Rose Queen (Physostegia virginiana);;рыхлые, плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Флокс метельчатый Клеопатра (Phlox paniculata);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Флокс метельчатый Кул Вотер (Phlox paniculata);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Хоста Альбомаргината;;;
Хоста Paul's Glory;;;
Хризантема болотная Snowland (Chrysanthemum paludosum);;нетребователен, влажная, хорошо дренированная;полутень, солнце
Шалфей дубравный Blaukoenigin (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный West-Friesland (Violet-Blue) (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный Violetkoenigin (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный Dwarf Blue Queen (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный Merleau Blue Compact (Salvia superba);;;
Шалфей дубравный New Dimension Blue (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный Rose Queen (Salvia nemorosa);;легкие, плодородные, сухая, хорошо дренированная;солнце
Шалфей дубравный Salvatore Blue (Salvia nemorosa);;;
Шалфей дубравный Schneehugel (Salvia nemorosa);;;
Эдельвейс соулеи (Leontopodium souliei);;легкие, умеренно плодородные, сухая, хорошо дренированная;солнце
Эхинацея пурпурная White Swan (Echinacea purpurea);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Эхинацея пурпурная Magnus Superior (Echinacea purpurea);;;
Эхинацея пурпурная Magnus (Echinacea purpurea);;;
Эхинацея пурпурная Purple-Red (Echinacea purpurea);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Эхинацея пурпурная Starlight (Echinacea purpurea);;умеренно плодородные, влажная, хорошо дренированная;солнце
Ясколка войлочная Celine (columnae) (Cerastium tomentosum);;рыхлые, нетребователен, влажная, хорошо дренированная;солнце
Ячмень гривастый Ricky (Hordeum jubatum);;нетребователен, нетребователен;солнце
